SpectraSmart Spectrum 2.12.1.1
--------- Device Information -----------
Spectrum Name : ,光譜_0
Saving Time : ,2026/07/22 16:43:04
Spectro-Module Model Name :,EE2063-VNIR
Spectro-Module Serial Number :,OS361AC55037329
Wavelength Start :,350
Wavelength End :,1020
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity
MB Temperature(°C) :,35.74 °C
TEC Temperature(°C) :,0.00 °C
-----------Spectrum Setting ------------
Integration Time :,2000ms
Average :,1
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
Baseline correction :, disabled
---------------BEGIN--------------------
Wavelength(nm),Intensity
350.01,       1172.701
350.39,       1170.216
350.77,       1170.238
351.15,       1172.037
351.52,       1174.564
351.90,       1176.008
352.28,       1175.892
352.66,       1174.989
353.04,       1173.613
353.42,       1172.256
353.80,       1171.191
354.17,        1170.02
354.55,       1169.478
354.93,       1170.829
355.31,       1174.066
355.69,        1178.83
356.06,       1183.281
356.44,       1184.395
356.82,       1181.718
357.20,       1176.331
357.58,        1170.46
357.95,       1167.774
358.33,       1169.111
358.71,       1173.111
359.09,       1178.358
359.46,       1182.486
359.84,       1184.715
360.22,       1186.088
360.60,       1186.245
360.97,       1184.627
361.35,       1181.453
361.73,       1176.519
362.10,       1172.195
362.48,       1172.393
362.86,       1177.597
363.24,        1186.74
363.61,       1195.724
363.99,       1197.884
364.37,       1191.912
364.74,       1179.871
365.12,       1166.508
365.50,       1159.474
365.87,       1160.683
366.25,       1167.832
366.63,       1176.783
367.00,       1180.941
367.38,       1178.457
367.76,        1171.31
368.13,       1162.858
368.51,       1158.246
368.88,       1159.056
369.26,       1164.132
369.64,       1170.353
370.01,       1172.864
370.39,       1170.723
370.76,       1165.309
371.14,       1161.171
371.52,       1165.478
371.89,       1179.083
372.27,       1199.033
372.64,       1218.682
373.02,       1227.607
373.40,       1223.538
373.77,       1210.061
374.15,         1193.1
374.52,       1182.219
374.90,       1180.337
375.27,       1184.582
375.65,       1192.127
376.02,       1198.407
376.40,       1201.582
376.77,       1203.092
377.15,       1203.205
377.52,       1202.037
377.90,       1199.952
378.27,       1196.856
378.65,       1192.977
379.02,       1189.039
379.40,       1185.542
379.77,       1182.558
380.15,       1181.279
380.52,       1183.379
380.90,       1188.784
381.27,       1196.667
381.65,       1204.614
382.02,        1208.79
382.40,       1208.236
382.77,       1204.019
383.15,       1198.038
383.52,       1193.464
383.89,       1191.479
384.27,       1191.472
384.64,       1192.745
385.02,       1194.125
385.39,       1195.161
385.77,       1196.074
386.14,       1197.485
386.51,       1200.286
386.89,       1204.322
387.26,       1208.977
387.64,       1212.463
388.01,       1212.089
388.38,       1207.604
388.76,        1200.29
389.13,       1192.518
389.51,       1188.007
389.88,       1187.915
390.25,       1191.244
390.63,       1196.949
391.00,       1203.214
391.37,       1209.079
391.75,       1214.738
392.12,       1219.663
392.49,       1223.096
392.87,       1224.778
393.24,       1224.556
393.61,       1222.698
393.99,       1219.944
394.36,       1216.652
394.73,       1212.895
395.11,       1208.983
395.48,       1205.202
395.85,       1201.868
396.23,       1199.426
396.60,       1197.819
396.97,       1196.761
397.35,       1196.219
397.72,       1196.032
398.09,       1196.858
398.46,       1199.821
398.84,       1204.695
399.21,       1210.701
399.58,       1215.891
399.95,        1217.26
400.33,       1214.291
400.70,       1208.176
401.07,       1200.743
401.44,       1194.986
401.82,       1191.957
402.19,       1190.847
402.56,       1191.511
402.93,       1193.547
403.31,       1196.502
403.68,        1200.56
404.05,        1204.35
404.42,       1205.651
404.80,       1203.952
405.17,       1199.471
405.54,       1194.095
405.91,       1191.061
406.28,       1191.099
406.66,       1193.481
407.03,       1195.813
407.40,       1194.218
407.77,       1187.997
408.14,        1178.47
408.52,       1168.918
408.89,       1164.405
409.26,       1166.175
409.63,       1172.949
410.00,       1181.198
410.38,       1185.244
410.75,       1183.778
411.12,       1178.353
411.49,       1172.807
411.86,       1173.373
412.23,       1181.057
412.60,       1193.265
412.98,       1205.476
413.35,       1210.671
413.72,       1207.176
414.09,       1197.592
414.46,       1185.318
414.83,       1175.669
415.20,       1170.683
415.58,       1169.117
415.95,       1170.269
416.32,       1172.916
416.69,       1176.365
417.06,        1180.96
417.43,       1186.321
417.80,       1191.686
418.17,       1196.448
418.54,       1200.032
418.91,       1201.871
419.29,       1201.458
419.66,       1198.848
420.03,       1194.575
420.40,       1189.155
420.77,       1183.337
421.14,       1177.839
421.51,       1172.955
