SpectraSmart Spectrum 2.12.1.1	
--------- Device Information -----------	
Spectrum Name : 	??_0
Saving Time : 	2026/7/22 16:43
Spectro-Module Model Name :	EE2063-VNIR
Spectro-Module Serial Number :	OS361AC55037329
Wavelength Start :	350
Wavelength End :	1020
Wavelength Unit :	Wavelength(nm)
Spectrum Unit :	Intensity
MB Temperature(簞C) :	35.75 簞C
TEC Temperature(簞C) :	0.00 簞C
-----------Spectrum Setting ------------	
Integration Time :	2000ms
Average :	1
Boxcar :	0
Background removal :	 enabled
linearity correction :	 enabled
SC :	 disabled
Intensity correction :	 disabled
DWT denoise :	 enabled
savitzky-golay :	 disabled
FFT :	 disabled
Running average :	 disabled
Kalman :	 disabled
High pass :	 disabled
Baseline correction :	 disabled
---------------BEGIN--------------------	
Wavelength(nm)	Intensity
350.01	1178.321
350.39	1175.552
350.77	1172.483
351.15	1168.678
351.52	1164.958
351.9	1162.621
352.28	1162.008
352.66	1163.342
353.04	1164.965
353.42	1164.07
353.8	1160.206
354.17	1153.896
354.55	1148.289
354.93	1148.487
355.31	1155.169
355.69	1166.619
356.06	1178.005
356.44	1181.589
356.82	1175.956
357.2	1163.916
357.58	1150.655
357.95	1144.501
358.33	1147.617
358.71	1157.17
359.09	1169.832
359.46	1180.231
359.84	1186.41
360.22	1190.026
360.6	1191.461
360.97	1191.299
361.35	1190.077
361.73	1187.244
362.1	1184.052
362.48	1182.844
362.86	1184.056
363.24	1187.307
363.61	1190.94
363.99	1192.01
364.37	1189.903
364.74	1185.629
365.12	1180.796
365.5	1177.972
365.87	1177.894
366.25	1179.708
366.63	1182.375
367	1184.364
367.38	1184.968
367.76	1184.373
368.13	1183.138
368.51	1182.016
368.88	1181.434
369.26	1181.81
369.64	1181.969
370.01	1180.049
370.39	1176.126
370.76	1170.677
371.14	1167.439
371.52	1172.336
371.89	1185.765
372.27	1205.202
372.64	1224.326
373.02	1233.139
373.4	1229.346
373.77	1216.113
374.15	1198.802
374.52	1186.249
374.9	1181.249
375.27	1181.313
375.65	1184.193
376.02	1186.145
376.4	1185.83
376.77	1184.852
377.15	1183.478
377.52	1181.72
377.9	1179.88
378.27	1177.698
378.65	1175.804
379.02	1175.549
379.4	1177.17
379.77	1180.221
380.15	1184.204
380.52	1188.221
380.9	1191.802
381.27	1195.063
381.65	1197.571
382.02	1198.705
382.4	1198.467
382.77	1197.06
383.15	1195.313
383.52	1194.611
383.89	1195.364
384.27	1197.314
384.64	1199.917
385.02	1202.191
385.39	1203.827
385.77	1205.078
386.14	1206.213
386.51	1207.699
386.89	1209.542
387.26	1211.349
387.64	1212.794
388.01	1213.449
388.38	1213.21
388.76	1212.373
389.13	1210.935
389.51	1208.855
389.88	1206.342
390.25	1203.509
390.63	1201.082
391	1200.216
391.37	1200.983
391.75	1202.869
392.12	1204.901
392.49	1205.452
392.87	1204.148
393.24	1201.665
393.61	1198.281
393.99	1194.565
394.36	1190.807
394.73	1186.552
395.11	1182.965
395.48	1181.884
395.85	1183.476
396.23	1187.575
396.6	1191.415
396.97	1190.388
397.35	1184.001
397.72	1173.919
398.09	1164.468
398.46	1162.652
398.84	1169.745
399.21	1182.976
399.58	1198.148
399.95	1208.572
400.33	1212.091
400.7	1210.687
401.07	1205.7
401.44	1199.415
401.82	1193.107
402.19	1186.148
402.56	1179.899
402.93	1176.601
403.31	1176.718
403.68	1180.165
404.05	1184.977
404.42	1187.665
404.8	1187.211
405.17	1184.06
405.54	1180.26
405.91	1179.252
406.28	1181.726
